url|code|confidence|source|price|location|store_name|address_line1|address_line2|city|state|expires|error
https://offers.greatclips.com/jGXBSV3||||$9.99|Great Clips New Cut Market Center at 165 Outer Loop in Louisville, KY|Great Clips|New Cut Market Center|165 Outer Loop|Louisville|KY|09/02/2026|
https://offers.greatclips.com/nKIAdBr||||$9.99|Great Clips Village Grove at Verrado at 19580 W Indian School Road in Buckeye, AZ|Great Clips|Village Grove|Verrado at 19580 W Indian School Road|Buckeye|AZ|09/13/2026|
https://offers.greatclips.com/tfjd19D||||$9.99|Great Clips Desloge at 1137 N Desloge Dr in Desloge, MO|Great Clips|Desloge|1137 N Desloge Dr|Desloge|MO|09/07/2026|
https://offers.greatclips.com/skteDvh||||$9.99|participating Tulsa area Great Clips salons|Great Clips|||Tulsa||09/04/2026|
https://offers.greatclips.com/GYWQl7J||||$9.99|participating Burlington-Plattsburgh area Great Clips salons|Great Clips|||Plattsburgh||09/04/2026|
https://offers.greatclips.com/yIfriPt||||$9.99|participating Lansing area Great Clips salons|Great Clips|||Lansing||09/04/2026|
https://offers.greatclips.com/MwFEMRy||||$9.99|participating Indianapolis area Great Clips salons|Great Clips|||Indianapolis||08/28/2026|
https://offers.greatclips.com/Qk0KKEJ||||$9.99|participating Evansville & Owensboro area Great Clips salons|Great Clips|||Owensboro||09/04/2026|
https://offers.greatclips.com/GQiBsZF||||$9.99|participating Eastern Carolina area Great Clips salons|Great Clips|||Eastern Carolina||09/04/2026|
https://offers.greatclips.com/QyPIaKx||||$9.99|participating Wilmington area Great Clips salons|Great Clips|||Wilmington||09/04/2026|
https://offers.greatclips.com/QTwgFav||||$9.99|participating Cincinnati area Great Clips salons|Great Clips|||Cincinnati||08/28/2026|
https://offers.greatclips.com/mjDlDVB||||$9.99|participating Lincoln-Grand Island-Hastings-Krny area Great Clips salons|Great Clips|||Krny||08/28/2026|
https://offers.greatclips.com/OloluXg||||$9.99|participating Ft||participating Ft||||08/28/2026|
https://offers.greatclips.com/7IbBp0B||||$9.99|participating Terre Haute area Great Clips salons|Great Clips|||Terre Haute||08/28/2026|
https://offers.greatclips.com/FUTKNiv||||$9.99|participating Champaign, Springfield, & Jacksonville area Great Clips salons|Great Clips|||Jacksonville||08/28/2026|
https://offers.greatclips.com/k1iTUn0||||$9.99|Great Clips Garden Creek Center at 1623 New Garden Rd in Greensboro, NC|Great Clips|Garden Creek Center|1623 New Garden Rd|Greensboro|NC|08/30/2026|
https://offers.greatclips.com/vYP2SXG||||$9.99|Great Clips LaGrange Crossing at 1 N La Grange Rd in La Grange, IL|Great Clips|LaGrange Crossing|1 N La Grange Rd|La Grange|IL|08/27/2026|
https://offers.greatclips.com/TjBHjwk||||$9.99|Great Clips North Villa Park Commons at 66 E North Ave in Villa Park, IL|Great Clips|North Villa Park Commons|66 E North Ave|Villa Park|IL|08/27/2026|
https://offers.greatclips.com/kY37nFq||||$9.99|Great Clips High Point Crossing at 6411 E Northwest Hwy in Dallas, TX|Great Clips|High Point Crossing|6411 E Northwest Hwy|Dallas|TX|08/24/2026|
https://offers.greatclips.com/SU5JUTi||||$9.99|Great Clips Green River Plaza at 399 Campbellsville Byp in Campbellsville, KY|Great Clips|Green River Plaza|399 Campbellsville Byp|Campbellsville|KY|08/23/2026|
https://offers.greatclips.com/s9TgS1l||||$9.99|Great Clips Highland Knolls at 2020 S Fry Rd in Katy, TX|Great Clips|Highland Knolls|2020 S Fry Rd|Katy|TX|08/18/2026|
https://offers.greatclips.com/z1XrUC1||||$9.99|participating Mankato area Great Clips salons|Great Clips|||Mankato||08/28/2026|
https://offers.greatclips.com/xAKCpMz||||$9.99|participating Peoria area Great Clips salons|Great Clips|||Peoria||08/28/2026|
https://offers.greatclips.com/bdkrrNZ||||$9.99|participating Charleston area Great Clips salons|Great Clips|||Charleston||08/28/2026|
https://offers.greatclips.com/Xanrl3G||||$9.99|participating Lafayette area Great Clips salons|Great Clips|||Lafayette||08/28/2026|
https://offers.greatclips.com/eKd6RpP||||$9.99|participating El Paso & Las Cruces area Great Clips salons|Great Clips|||Las Cruces||08/28/2026|
https://offers.greatclips.com/w3O3UL8||||$9.99|participating South Central WI area Great Clips salons|Great Clips|||South Central WI||08/28/2026|
https://offers.greatclips.com/AYEqpdR||||$9.99|participating Wichita Falls & Lawton area Great Clips salons|Great Clips|||Lawton||08/28/2026|
https://offers.greatclips.com/IDRinKn||||$9.99|participating Cleveland, Akron, Canton & Sandusky area Great Clips salons|Great Clips|||Sandusky||08/28/2026|
https://offers.greatclips.com/EOu4Uj9||||$9.99|participating Chicagoland area Great Clips salons|Great Clips|||Chicagoland||08/28/2026|
https://offers.greatclips.com/avIRczC||||$9.99|participating Charleston-Huntington area Great Clips salons|Great Clips|||Huntington||08/28/2026|
https://offers.greatclips.com/OSGeQts||||||||||||"Failed to render https://offers.greatclips.com/OSGeQts: Page.goto: Timeout 10000ms exceeded.
Call log:
  - navigating to ""https://offers.greatclips.com/OSGeQts"", waiting until ""networkidle""
"
https://offers.greatclips.com/Qn8t3S6||||$9.99|participating Columbus, Auburn & Opelika area Great Clips salons|Great Clips|||Opelika||08/21/2026|
https://offers.greatclips.com/JlZeiM9||||$9.99|participating Tallahassee, Thomasville & Valdosta area Great Clips salons|Great Clips|||Valdosta||08/21/2026|
https://offers.greatclips.com/vUnR5no||||$9.99|participating Tyler-Longview area Great Clips salons|Great Clips|||Longview||08/21/2026|
https://offers.greatclips.com/llFADfo||||$9.99|participating Jacksonville, NE Florida & SE Georgia area Great Clips salons|Great Clips|||SE Georgia|NE|08/21/2026|
https://offers.greatclips.com/5BCLsvg||||$9.99|participating Jackson area Great Clips salons|Great Clips|||Jackson||08/21/2026|
https://offers.greatclips.com/TcitiPj||||$9.99|participating Orlando, Ocala, Daytona Beach & Melbourne area Great Clips salons|Great Clips|||Melbourne||08/21/2026|
https://offers.greatclips.com/kkKeAV4||||||||||||"Failed to render https://offers.greatclips.com/kkKeAV4: Page.click: Timeout 10000ms exceeded.
Call log:
  - waiting for locator(""#redemption"")
    - locator resolved to <a id=""redemption"" class=""medium radius success button src-download"" href=""https://offers.greatclips.com/kkKeAV4/credential"">Print Coupon</a>
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is not visible
    - retrying click action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and stable
      - element is not visible
    - retrying click action
      - waiting 100ms
    19 × waiting for element to be visible, enabled and stable
       - element is not visible
     - retrying click action
       - waiting 500ms
"
https://offers.greatclips.com/OzGyDQi||||$9.99|participating Greater Tampa Bay, Lakeland & Sarasota area Great Clips salons|Great Clips|||Sarasota||08/21/2026|
https://offers.greatclips.com/NSgbspU||||$9.99|participating NW Arkansas & River Valley area Great Clips salons|Great Clips|||River Valley|AR|08/21/2026|
https://offers.greatclips.com/PM0plCD||||$9.99|participating Bowling Green & Glasgow area Great Clips salons|Great Clips|||Glasgow||08/21/2026|
https://offers.greatclips.com/JQ6vQYV||||$9.99|participating Knoxville area Great Clips salons|Great Clips|||Knoxville||08/21/2026|
https://offers.greatclips.com/Oxpiqus||||$9.99|participating Gainesville area Great Clips salons|Great Clips|||Gainesville||08/21/2026|
https://offers.greatclips.com/sKk6ul3||||$9.99|participating Laredo area Great Clips salons|Great Clips|||Laredo||08/14/2026|
https://offers.greatclips.com/5RUIfYA||||$9.99|participating Corpus Christi area Great Clips salons|Great Clips|||Corpus Christi||08/07/2026|
https://offers.greatclips.com/Jupo52S||||$9.99|participating Ft||participating Ft||||08/20/2026|
https://offers.greatclips.com/FAJyzkH||||$9.99|participating New Mexico area Great Clips salons|Great Clips|||New Mexico|NM|08/14/2026|
https://offers.greatclips.com/tr1FL37||||$9.99|participating Shreveport & Marshall area Great Clips salons|Great Clips|||Marshall||08/14/2026|
https://offers.greatclips.com/W0OwWvi||||$9.99|Great Clips Fredericksburg Town Center at 1455 E Main St in Fredericksburg, TX|Great Clips|Fredericksburg Town Center|1455 E Main St|Fredericksburg|TX|08/23/2026|
https://offers.greatclips.com/oxTosrv||||$9.99|Great Clips Westwood Shopping Center at 11019 Culebra Rd in San Antonio, TX|Great Clips|Westwood Shopping Center|11019 Culebra Rd|San Antonio|TX|08/17/2026|
https://offers.greatclips.com/jZlXZYc||||$9.99|Great Clips South Providence at 650 S Mt Juliet Rd in Mount Juliet, TN|Great Clips|South Providence|650 S Mt Juliet Rd|Mount Juliet|TN|08/16/2026|
